"","cap.shape","cap.surface","cap.color","bruises.","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.","stalk.surface.below.","stalk.color.above.ri","stalk.color.below.ri","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat","classe","echantillon"
"35","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"36","f","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d","p","base"
"37","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d","e","base"
"38","x","s","e","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"39","f","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"42","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"43","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u","p","base"
"44","x","y","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","d","p","base"
"45","x","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","n","v","l","e","base"
"46","k","s","e","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l","p","base"
"47","x","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g","e","base"
"48","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"49","x","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","g","p","base"
"50","x","f","w","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","n","g","e","base"
"51","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d","e","base"
"52","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d","e","base"
"55","x","f","w","f","n","f","w","b","g","e","?","s","k","w","w","p","w","t","p","w","s","g","e","base"
"56","b","s","g","f","n","f","w","b","p","e","?","s","k","w","w","p","w","t","p","w","s","g","e","base"
"57","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d","e","base"
"58","k","y","e","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"60","f","s","n","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p","p","base"
"61","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"62","f","s","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"63","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"64","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","p","e","base"
"65","x","s","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"66","k","y","e","f","m","f","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d","p","base"
"68","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"69","f","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","d","p","base"
"70","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d","e","base"
"71","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g","e","base"
"72","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p","e","base"
"73","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"74","x","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"75","x","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","n","o","p","n","c","l","e","base"
"76","f","s","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d","p","base"
"77","x","y","n","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p","p","base"
"78","x","s","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","l","p","base"
"80","x","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"84","x","f","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","d","e","base"
"85","f","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","v","g","p","base"
"86","f","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g","e","base"
"87","x","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","d","p","base"
"88","x","y","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p","p","base"
"89","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"90","f","f","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d","e","base"
"91","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d","p","base"
"93","k","s","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l","p","base"
"94","x","f","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"95","f","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p","p","base"
"97","x","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d","e","base"
"98","x","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g","e","base"
"100","f","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","d","e","base"
"101","x","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d","e","base"
"103","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u","p","base"
"105","x","f","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"107","x","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d","p","base"
"108","x","y","e","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"110","b","f","g","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","n","g","e","base"
"111","f","s","n","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"112","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g","e","base"
"113","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u","p","base"
"115","b","s","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"116","x","y","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","g","p","base"
"117","f","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u","e","base"
"118","x","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d","e","base"
"119","k","y","e","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p","p","base"
"120","x","s","b","t","f","f","c","b","h","t","b","f","f","w","w","p","w","o","p","h","s","g","p","base"
"123","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"124","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g","e","base"
"126","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"127","f","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g","e","base"
"128","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"129","f","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p","e","base"
"130","x","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d","e","base"
"131","f","y","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"132","f","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"133","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g","e","base"
"134","x","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"135","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"137","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g","e","base"
"139","x","f","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d","e","base"
"140","f","y","n","f","y","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"141","x","f","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"142","f","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","d","p","base"
"144","f","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d","e","base"
"145","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"147","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"148","k","y","c","f","n","f","w","n","w","e","b","s","f","w","n","p","w","o","e","w","v","l","e","base"
"149","k","y","n","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l","p","base"
"151","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g","p","base"
"152","f","s","g","t","f","f","c","b","p","t","b","s","s","w","w","p","w","o","p","h","s","g","p","base"
"153","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g","e","base"
"154","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p","p","base"
"155","k","f","w","f","n","f","w","b","w","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"156","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","u","e","base"
"158","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m","e","base"
"159","x","y","n","t","n","f","c","b","w","e","?","s","s","e","e","p","w","t","e","w","c","w","e","base"
"160","k","y","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p","p","base"
"162","f","s","e","f","y","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d","p","base"
"163","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g","e","base"
"166","x","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","g","p","base"
"167","f","y","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","g","p","base"
"168","k","f","c","f","n","f","w","n","w","e","b","s","s","w","n","p","w","o","e","w","v","l","e","base"
"170","f","y","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","g","p","base"
"172","x","s","b","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","v","g","p","base"
"174","x","f","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"175","x","f","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d","e","base"
"177","k","y","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"180","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d","e","base"
"181","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d","e","base"
"182","x","s","w","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","u","p","base"
"183","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"184","f","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"186","x","y","e","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"187","x","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"189","f","y","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p","p","base"
"190","k","y","e","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p","p","base"
"191","f","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d","e","base"
"192","k","s","e","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p","p","base"
"194","x","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d","e","base"
"195","x","f","g","f","n","f","w","b","p","e","?","s","k","w","w","p","w","t","p","w","n","g","e","base"
"196","f","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","g","p","base"
"198","f","s","e","f","s","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p","p","base"
"199","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"202","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","d","e","base"
"205","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g","e","base"
"206","f","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","n","o","p","n","v","l","e","base"
"207","x","s","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d","p","base"
"208","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u","e","base"
"209","k","s","n","f","s","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"210","x","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"212","x","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d","e","base"
"213","f","y","e","f","y","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"215","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"216","x","y","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","d","p","base"
"217","f","y","e","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p","p","base"
"218","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u","p","base"
"219","f","f","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","v","d","e","base"
"221","f","s","w","t","f","f","c","b","p","t","b","s","f","w","w","p","w","o","p","h","s","u","p","base"
"222","f","s","e","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p","p","base"
"224","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"225","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"227","k","s","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l","p","base"
"228","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"230","x","y","e","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"231","k","y","n","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"234","x","y","n","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"235","x","s","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d","p","base"
"236","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","g","p","base"
"237","k","s","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"238","f","y","n","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d","p","base"
"239","x","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u","p","base"
"240","k","y","e","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"241","x","s","e","t","n","f","c","b","w","e","?","s","s","w","e","p","w","t","e","w","c","w","e","base"
"242","x","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"244","f","s","w","t","f","f","c","b","w","t","b","f","f","w","w","p","w","o","p","h","s","g","p","base"
"245","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"246","k","s","w","f","n","f","w","b","g","e","?","k","s","w","w","p","w","t","p","w","s","g","e","base"
"247","x","s","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"250","x","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","d","e","base"
"252","f","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","g","p","base"
"253","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g","e","base"
"254","f","s","e","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p","p","base"
"255","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"256","f","s","n","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l","p","base"
"257","x","y","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","d","e","base"
"259","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","d","e","base"
"260","f","y","n","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"261","f","y","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","d","p","base"
"262","x","y","n","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"263","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","g","p","base"
"266","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g","p","base"
"268","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"269","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u","p","base"
"271","x","y","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p","p","base"
"272","x","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g","p","base"
"273","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"275","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"276","x","s","e","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"277","x","f","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"278","x","s","n","f","s","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"279","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g","e","base"
"283","x","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","y","v","l","e","base"
"284","x","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","g","p","base"
"285","f","y","n","f","y","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p","p","base"
"286","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","g","p","base"
"287","f","y","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d","e","base"
"290","x","s","n","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l","p","base"
"291","x","y","n","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d","p","base"
"292","f","f","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"293","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g","e","base"
"294","x","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","g","p","base"
"295","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g","e","base"
"297","f","f","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"298","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"299","x","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p","p","base"
"300","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"303","f","y","e","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"305","f","y","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","g","p","base"
"306","x","s","e","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","d","p","base"
"309","x","s","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"311","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","g","p","base"
"313","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m","e","base"
"314","k","s","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"315","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g","e","base"
"317","x","y","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","g","p","base"
"318","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"320","f","s","e","t","n","f","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","w","e","base"
"322","x","s","n","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l","p","base"
"323","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"325","x","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","g","p","base"
"327","k","y","e","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p","p","base"
"328","f","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g","p","base"
"329","f","y","n","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"330","f","s","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p","p","base"
"331","x","f","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d","p","base"
"333","k","s","e","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d","p","base"
"337","k","s","e","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p","p","base"
"338","f","s","e","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"339","x","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p","p","base"
"340","f","s","b","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","m","p","base"
"341","f","y","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"342","x","s","p","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","d","p","base"
"343","f","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p","p","base"
"345","x","f","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d","e","base"
"346","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"347","b","y","n","f","n","f","c","n","w","e","?","k","y","w","y","p","w","o","e","w","v","d","p","base"
"349","f","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p","p","base"
"350","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"351","x","y","n","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p","p","base"
"352","x","f","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"353","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"354","k","f","g","f","n","f","w","b","w","e","?","s","s","w","w","p","w","t","p","w","n","g","e","base"
"355","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"356","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"358","f","s","n","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"359","x","s","n","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"360","x","s","n","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l","p","base"
"361","k","s","w","f","n","f","w","b","p","e","?","k","k","w","w","p","w","t","p","w","s","g","e","base"
